antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
Entre 5 y 10 años,3,3,,"https://www.google.com/maps/place/-2.130760908126831,-79.90673828125",400, $375.500,Publicado hace 4 hs,Inmobiliaria,"Venta de  Casa Laguna Del Sol, 3 dormitorios,  Samborondon"
Entre 10 y 20 años,4,5,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.90899658203125",337, $150.000,Publicado hace 11 hs,Inmobiliaria,En Venta Casa en Cdla. La Alborada Décima Etapa
Hasta 5 años,1,2,,"https://www.google.com/maps/place/-2.1989998817443848,-79.90799713134766",95, $108.000,Publicado hace 4 hs,Inmobiliaria,"Venta de Suit amoblada Kennedy Point, planta baja"
Entre 10 y 20 años,1,1,Si,"https://www.google.com/maps/place/-2.172635316848755,-79.90055084228516",60,$65.000,Publicado hace 4 hs,Dueño Directo,Suite Kennedy Amoblada
Hasta 5 años,3,3,Si,"https://www.google.com/maps/place/-2.0480000972747803,-79.90499877929688",132, $138.000,Publicado hace 4 hs,Inmobiliaria,"Casa en Venta Urb. El Condado Vicolinci, Guayaquil"
Entre 10 y 20 años,3,4,Si,"https://www.google.com/maps/place/-2.165,-79.91",170,$105.000,Publicado hace 13 hs,Inmobiliaria,Venta Departamento Urdesa Norte
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.174929618835449,-79.90115356445312",142, $100.000,Publicado hace 4 hs,Inmobiliaria,Vendo Casa Villa Club Etapa Floral
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.061000108718872,-79.95500183105469",84, $42.000,Publicado hace 4 hs,Inmobiliaria,"Venta de casa en Urb. Portón de la Beata, Vía a Daule, cerca de la Cervecería y la Terminal Terrestre de Pascuales"
Entre 10 y 20 años,3,4,No,"https://www.google.com/maps/place/-2.191999912261963,-79.88099670410156",158, $155.000,Publicado hace 4 hs,Inmobiliaria,"Venta / Renta, alquiler Departamento / Edificio San Francisco 300 / Centro de Guayaquil / Zona Bancaria"
Hasta 5 años,2,1,Si,"https://www.google.com/maps/place/-2.1710000038146973,-79.9219970703125",48,$55.000,Publicado hace 4 hs,Dueño Directo,Vendo Bonita Villa
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.115000009536743,-79.90299987792969",120, $76.000,Publicado hace 3 hs,Dueño Directo,Casa de 2 plantas Samanes 1
Entre 10 y 20 años,4,3,Si,"https://www.google.com/maps/place/-2.134000062942505,-79.90899658203125",195, $115.000,Publicado hace 4 hs,Inmobiliaria,VENDO CASA EN LA ALBORADA 10MA ETAPA
Entre 5 y 10 años,4,5,Si,"https://www.google.com/maps/place/-2.065000057220459,-79.91400146484375",140, $98.000,Publicado hace 3 hs,Inmobiliaria,"Propiedad en venta en Metrópolis 2, terminal Pascuales, etapa 2A totalmente ampliada y remodelada."
Entre 10 y 20 años,3,3,No,"https://www.google.com/maps/place/-2.188999891281128,-79.89399719238281",168, $90.000,Publicado hace 3 hs,Dueño Directo,"Venta Departamento Centro Guayaquil, Los Rios y Hurtado, Cerca de Universidades"
Hasta 5 años,4,2,Si,"https://www.google.com/maps/place/-2.0959999561309814,-79.91100311279297",105,$65.000,Publicado hace 3 hs,Inmobiliaria,Vende Casa Las Orquídeas
Hasta 5 años,3,2,Si,"https://www.google.com/maps/place/-2.065000057220459,-79.89299774169922",95, $85.000,Publicado hace 3 hs,Dueño Directo,Venta de Casa de dos Plantas en Mucho Lote 2
Entre 5 y 10 años,2,3,,"https://www.google.com/maps/place/-2.121000051498413,-79.88800048828125",322, $90.000,Publicado hace 3 hs,Inmobiliaria,venta de casa Francisco Segura entre la 44 y 45 Suroeste cerca de la estación de la linea 7 Guayaquil
Entre 10 y 20 años,3,3,No,"https://www.google.com/maps/place/-2.121000051498413,-79.88800048828125",110, $49.500,Publicado hace 3 hs,Inmobiliaria,Venta/departamento/Chiriboga y Boyaca/centro/Guayaquil
Hasta 5 años,3,4,Si,"https://www.google.com/maps/place/-2.181999921798706,-79.97000122070312",300, $250.000,Publicado hace 6 hs,Inmobiliaria,Se Vende Casa en Bosques De la Costa 300 m2
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.063999891281128,-79.91500091552734",175, $98.000,Publicado hace 3 hs,Inmobiliaria,"Venta casa-2plantas,  bifam.""Las Orquideas"""
Entre 20 y 50 años,4,4,Si,"https://www.google.com/maps/place/-2.236999988555908,-79.90299987792969",300, $116.000,Publicado hace 5 hs,Inmobiliaria,"CIUDADELA COVIEM VENDO BONITA CASA 4 DORMITORIOS, PATIO, GARAJES, BASES 2DO PISO"
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.1320769786834717,-79.8958740234375",210, $115.000,Publicado hace 5 hs,Inmobiliaria,"Enventa Casa en Las Orquideas, Guayaquil"
Entre 10 y 20 años,4,5,,"https://www.google.com/maps/place/-2.161486,-79.917257",750,$300.000,Publicado hace 5 hs,,Casa de venta en Vía a Samborondon - Cdla. La Gloria – código:15258
Entre 10 y 20 años,3,4,No,"https://www.google.com/maps/place/-2.11299991607666,-79.90899658203125",135, $95.000,Publicado hace 5 hs,Inmobiliaria,Venta de Casa Samanes 7 - C. Herrera - A. Maidana
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.1410000324249268,-79.91000366210938",250, $136.000,Publicado hace 5 hs,Inmobiliaria,Se Vende Casa en Urb. Saint Gallen  140 m² · 3 Habitaciones · 1 Estacionamiento
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.1670000553131104,-79.94499969482422",211, $200.000,Publicado hace 5 hs,Inmobiliaria,"Vendo, casa duplex de dos pisos en urbanización en los Ceibos al norte de Guayaquil"
