antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
En construcción,3,3,2,"//maps.google.com/maps/api/staticmap?center=-2.0625285,-79.8773438&zoom=16&markers=-2.0625285,-79.8773438&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=O1Z-2nXZdhD6Ic3h6X2Dh2n-Urk=",319m²,,,,Casa en Venta en Estancias del Rio
En construcción,4,4,0,"//maps.google.com/maps/api/staticmap?center=-2.104158358380436,-79.86055015522538&zoom=16&markers=-2.104158358380436,-79.86055015522538&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=Y13oqaAnY2oKVcyPliyL3Hk5fDg=",410m²,,,,Isla Mocoli Urb. Pacifica - 4 Dorm.
,1,1,3,"//maps.google.com/maps/api/staticmap?center=-2.059290948246912,-79.92583201531374&zoom=16&markers=-2.059290948246912,-79.92583201531374&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=rRPhNPjAifClpVd2nBpKV6RN6b0=",83m²,,,,"Vendo Casa de Estreno Urbanizacion Villa Italia, Excelente Ubicacion!"
5,3,4,2,"//maps.google.com/maps/api/staticmap?center=-2.1858452,-80.00230959999999&zoom=16&markers=-2.1858452,-80.00230959999999&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=BuZLScMq-ZSpFWU7s4zVzjWmYC4=",186m²,,,,Hermosa Casa en Venta Urb. Arcadia - 3 Dorm. 215.000$
5,4,4,0,"//maps.google.com/maps/api/staticmap?center=-2.115345389952465,-79.85616255437014&zoom=16&markers=-2.115345389952465,-79.85616255437014&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=yodWqt7SOdUVK2FNJ7YqJoJVgSw=",480m²,,,,Arrecife - Punta Mocoli Design By Jannina Cabal
13,7,7,10,"//maps.google.com/maps/api/staticmap?center=-2.1520745,-79.8625834&zoom=16&markers=-2.1520745,-79.8625834&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=fZw1WD9skQUDuDlcBGJ4Fk35GzE=",1460m²,,,,Espectacular Mansión en Urbanización Aquamarina de Samborondón ¡Al Pie del Lago!
,,,,"//maps.google.com/maps/api/staticmap?center=-2.1898191,-79.94060569999999&zoom=16&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=A3OzQor_c8EeUXkPSgWdhc2kOGo=",,,,,
4,3,4,3,"//maps.google.com/maps/api/staticmap?center=-2.183342031905175,-79.99406450052493&zoom=16&markers=-2.183342031905175,-79.99406450052493&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=BEX2qpApulq6Vq4eyAwhGsDCeYw=",200m²,,,,Punta Esmeralda - Casa en Venta 3d - $
4,3,2,0,"//maps.google.com/maps/api/staticmap?center=-2.0342721,-79.89789830000001&zoom=16&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=xyMGWvpX9K2Qk5CMEVMiv4lWEbA=",144m²,,,,"Casa en Venta en Villa Club, Esquinera $99.000"
,0,4,14,"//maps.google.com/maps/api/staticmap?center=-2.0868532,-79.8709837&zoom=16&markers=-2.0868532,-79.8709837&channel=PV&size=780x456&sensor=true&scale=2&key=AIzaSyBZ0l4aIUv2yia6kSFP_hc3Q4Z_lQ0Nl5w&signature=6NpxlKqYRSFXgQGHusXf400qgYw=",767m²,,,,Casa - Samborondón
