antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
5,4,4,0,480,565000,,,Arrecife - Punta Mocoli Design By Jannina Cabal,-2.115345389952465,-79.85616255437014
20,4,4,3,244,140000,,,Venta de Casa Cdla. del Biess Remodelada - Sector Sur de Guayaquil,-2.230328339537673,-79.90216345507815
En construcción,0,4,2,1,259000,,,Se Vende Proyecto en Isla Celeste Reserva Solo con 10.000!,-2.071613787296468,-79.84206462327882
A estrenar,4,4,0,245,245000,,,Isla Celeste 243 m² Const y 225 m² Terreno Hermoso Diseño Venta Directa,-2.07941565850068,-79.83799314794919
A estrenar,0,4,2,1090,650000,,,"Casa 1 Planta Al Lago - 4 D - $650,000",-2.142225517676877,-79.86459564013671
10,3,3,2,580,425000,,,"Samborondon Km 4 - Urb San Isidro - Casa 3 Dorm. - Us$425,000",-2.1190084,-79.86893909999998
14,4,5,2,240,280000,,,Vendo Casa Portón de Lomas Urdesa (Costabienes),-2.1590432,-79.90947510000001
30,3,2,1,170,175000,,,"Venta de Casa, Vía a Samborondon Km 1 Planta Baja",-2.1447394,-79.8644152
En construcción,3,3,2,319,367000,,,Casa en Venta en Estancias del Rio,-2.0625285,-79.8773438
En construcción,4,4,2,593,682000,,,"Casa en Proyecto - con Vista Al Lago - Us$682,000",-2.075796462183973,-79.87261044340823
5,3,4,2,186,215000,,,Hermosa Casa en Venta Urb. Arcadia - 3 Dorm. 215.000$,-2.1858452,-80.00230959999999
En construcción,4,6,1,570,495000,,,Isla Mocoli - 4 Dorm. - Jardines Interiores - Piscina,-2.102442901125957,-79.8670732875496
8,3,2,2,189,225000,,,"Casa en Venta - Km 14 - 3d - $225,000",-2.189967667128228,-80.00195052012941
A estrenar,4,5,2,480,395000,,,Isla Mocoli - 4 Dorm.,-2.103258580671302,-79.85977828919982
En construcción,4,3,2,461,490000,,,"Proyecto Nuevo - Casa de 4 Dorm. - Us$490,000",-2.111447708039338,-79.85661246826169
,1,1,3,83,79990,,,"Vendo Casa de Estreno Urbanizacion Villa Italia, Excelente Ubicacion!",-2.059290948246912,-79.92583201531374
En construcción,4,4,2,405,454000,,,"Urb Pacifica - Isla Mocoli - Casa en Proyecto - Us$454,000",-2.1043031,-79.86048310000001
40,4,3,2,600,320000,,,Casa en Venta. Una Sola Planta 275.72 m² de Construcción. Ceibos Calle 2da,-2.168558934023446,-79.9392657095093
,0,4,14,767,500000,,,Casa - Samborondón,-2.0868532,-79.8709837
A estrenar,4,3,0,180,155000,,,Casa en Venta Via a La Costa Km 22 Urb Costa Real 4 Dorm.,-2.201378,-80.06030279999999
10,4,4,2,550,380000,,,Casa en Venta - 4d - Santa Cecilia - $380.000,-2.162087802779203,-79.94190992366487
33,3,2,0,160,150000,,,Vendo Casa Colinas de Los Ceibos,-2.164387438323206,-79.94552559341605
6,3,3,2,400,480000,,,Linda Casa en Venta o Alquiler - 3 Dorm.,-2.03748177272571,-79.83215510345951
En construcción,4,4,2,593,682000,,,Casa en Venta en Aires de Batan Al Lago Venta Directa Sin Intermediarios,-2.0772653,-79.87343659999999
5,3,2,2,120,85000,,,Vendo Casa de 2 Plantas en Milan Esquinera,-2.0380771,-79.8701254
5,4,3,2,230,200000,,,Se Vende Una Casa y un Departamento Via a La Costa,-2.184807509446279,-80.00872382559129
4,3,4,1,175,182000,,,Casa en Venta en Exclusiva Urbanización Bali/ Samborondón/ Daule,-2.0516322,-79.90243290000001
7,9,6,0,104,135000,,,Casa Rentera con Cinco Departamentos en Huancavilca Sur - Guayaquil - F. Rodríguez,-2.2349311,-79.90027129999999
En construcción,4,4,2,546,565000,,,"Proyecto Nuevo - Casa de 4 Dorm. - Vista Al Lago - Us$565,000",-2.1133347,-79.85558249999997
10,3,3,2,203,275000,,,"Casa 3 Dorm. + Sala de Estar - Us$275,000",-2.135514132373163,-79.86448066357423
4,3,4,3,200,185000,,,Punta Esmeralda - Casa en Venta 3d - $,-2.183342031905175,-79.99406450052493
13,7,7,10,1460,575000,,,Espectacular Mansión en Urbanización Aquamarina de Samborondón ¡Al Pie del Lago!,-2.1520745,-79.8625834
8,3,3,2,400,385000,,,"Urb Laguna del Sol - Casa 3 Dorm. - Us$385,000",-2.082085910194585,-79.87252865239259
15,4,7,2,470,280000,,,"Hermosa Casa en Venta 4 Dorm, Piscina. Urb. Colinas de Los Ceibos - 280.000$",-2.159284019538617,-79.94815607409669
10,3,3,2,251,290000,,,"Casa en Venta - Km 7 - 3d - Us$290,000",-2.187145471490973,-79.97014873815459
3,10,11,3,740,650000,,,Samborondon La Puntilla Vendo Casa con Dos Departamentos Independientes,-2.15640153911104,-79.86508279311522
A estrenar,4,4,2,540,850000,,,"Casa X Estrenar - Al Lago - de Lujo - Us$850,000",-2.0773404,-79.86969220000003
A estrenar,4,4,2,400,325000,,,Isla Mocoli Vendo Casa Moderna de Estreno,-2.096197548642436,-79.8606440325409
A estrenar,3,2,0,122,69000,,,Villa del Rey Palacio 5 Nueva Venta Directa $69.000,-2.0248305,-79.91677709999999
10,3,3,2,268,188500,,,Vendo Casa Via a La Costa,-2.1896713,-80.00842519999998
10,3,3,1,90,58000,,,Casa en Venta en Mucho Lote 1 Al Norte de Gye - F. Rodríguez,-2.094771439533467,-79.91429647138062
A estrenar,4,4,2,406,454000,,,Pacifica (Mocoli) a Estrenar Moderna Casa,-2.1043031,-79.86048310000001
A estrenar,3,2,2,127,80000,,,Vendo Hermosa Casa en Bonaterra de Oportunidad,-2.0393128,-79.8654999
15,3,5,2,337,329000,,,"Linda Casa, Km 5 Sobre La Vía a Samborondon",-2.1170338,-79.87147010000001
6,3,5,0,453,425000,,,"Hermosa Casa en Laguna del Sol, Via a Samborondon",-2.080773805194784,-79.87264689580081
6,3,3,2,502,349000,,,"Casa 3 Dormit + Estudio + Sala Musica - Us$349,000",-2.114834,-79.8681618
En construcción,4,4,1,420,380000,,,"Casa Proyecto en Venta, Isla Mocoli, Samborondón Ciudadela Isla del Rio",-2.0994643,-79.86449670000002
37,2,2,0,101,55000,,,De Oportunidad Casa en Venta en Sauces,-2.125083855262901,-79.89743211586915
,1,1,4,243,245000,,,Casa Isla Celeste Etapa Estribor,-2.189412799999999,-79.8890662
5,2,1,1,56,41900,,,Vendo Casa de Dos Plantas con Estacionamiento en Ciudad Santiago - Guayaquil - F. Rodríguez,-2.024561619524212,-79.94286473596799
18,5,4,2,456,268900,,,Venta de Casa en La Urb. Los Senderos - Mae. Recalde,-2.1675008,-79.93569439999999
24,4,3,3,138,130000,,,Amplia Casa en Sauces 9,-2.130761314839407,-79.8938744830117
4,4,4,2,523,370000,,,Los Parques Casa en Venta,-2.1731919,-79.9437532
8,5,5,2,225,190000,,,"Vendo Excelente Villa en Ciudad Celeste, Via Samborondón.",-2.1070207,-79.87232990000001
15,3,2,1,120,59990,,,En Venta Casa en Ciudadela Las Orquídeas - K. Salamea,-2.0860551,-79.91385889999998
4,4,7,2,1088,860000,,,"Hermosa Casa en Urb Exclusiva, Via Samborondon",-2.102442901125957,-79.8670732875496
A estrenar,4,4,2,263,239500,,,"Casa Bifamiliar de 263 m² en Puerto Azul, Via a La Costa. Parque, Acabados Lujo",-2.187841308004728,-79.96819902660462
En construcción,3,3,1,112,112000,,,"Casa en Venta en Urb. La Joya Etapa Oro, Nueva Etapa",-2.028697862200196,-79.92173041645509
,1,0,4,324,388000,,,"Casa Enstancia del Rio, Samborondón",-2.1261184,-79.8766916
32,4,5,0,854,300000,,,Casa Esquinera en Lomas de Urdesa - C. Suárez - A. Cobos,-2.165891302729015,-79.90266371531374
A estrenar,3,4,1,113,112000,,,Venta de Casa en La Joya Esquinera a Estrenar (única Etapa con Club Panorámico),-2.046665273653481,-79.9114201526184
A estrenar,3,3,2,156,130000,,,Venta Samborondon Casa en Villa de Estreno Moderna,-2.0295738,-79.90413949999999
10,5,5,3,258,260000,,,Venta Hermosa Casa en Kennedy Norte - F. Rodríguez,-2.153638790700234,-79.90195914337323
3,3,3,2,147,96000,,,"Casa en Venta en La Urbanización La Joya, Vía Samborondón",-2.0495844,-79.9146923
14,4,4,0,297,230000,,,Espectacular Vivienda Remodelada en Ciudad Celeste,-2.074589295375011,-79.85734945725494
8,3,3,2,1700,1300000,,,Venta de Casa en Urb. Biblos,-2.135306816597971,-79.86609238567507
40,3,4,3,470,210000,,,Vendo Casa Lomas de Urdesa - F. Brito,-2.163800672884859,-79.90432400269395
7,4,5,3,364,285000,,,Casa de Venta Esquinera en La Urbanización Terranostra con 4 Dorm..,-2.187669659405457,-80.00269257409667
20,4,4,2,276,165000,,,En Venta Amplio Departamento en Lomas de Urdesa - K. Salamea,-2.163800672884859,-79.90432400269395
10,3,2,1,142,96990,,,Casa en Venta en Fuentes del Rio - 3 Dorm.,-2.0581715,-79.87063369999998
18,6,6,0,396,160000,,,"Casa Rentera de 3 Pisos, 2 Departamentos y Terraza",-2.12654888551479,-79.90302739629516
13,4,4,1,210,105000,,,Formidable Casa en Samanes,-2.113597360295507,-79.90868269037571
5,4,5,2,500,420000,,,Laguna del Sol Se Vende Hermosa Casa,-2.083200972101952,-79.87290416165467
30,0,0,0,472,210000,,,En Venta Casa con Uso de Suelo Comercial - I. Alarcón,-2.1647707,-79.920504
8,3,4,0,180,149000,,,En Venta Casa en Urb. Terranostra Via a La Costa - E. Salcedo,-2.1880985,-79.99968849999999
9,3,3,2,238,140000,,,En Venta Casa en Vía a La Costa Urb. Casa Club - A. Salvador,-2.1804425,-79.9867567
4,2,1,1,103,105000,,,Vendo Casa Rentera Dos Oficinas Departamento Suite Para Inversionistas Urdesa,-2.167342436357781,-79.90897718626093
30,5,3,2,214,140000,,,Venta de Casa Rentera en Alborada Quinta Etapa,-2.142087,-79.90667630000002
10,5,3,2,194,140000,,,"Casa en Venta Esquinera, Casa Rentera, en Alborada 5ta Etapa",-2.13492450359843,-79.89389603862304
6,8,8,1,150,225000,,,Casa en Venta en Bellavista de Tres Pisos - Rentera - Cerca Al Estadio Barcelona,-2.180032036060382,-79.91106704883492
8,3,2,0,82,58000,,,"Sauces 3; 2 Plantas, Rentera 2 Locales y 1 Departamento por Concluir.",-2.1270629,-79.89306920000001
9,4,4,1,227,158000,,,Oportunidad! Venta Casa Ciudad Celeste: Via Samborondon - Guayaquil: 4 Habitaciones,-2.073659197271514,-79.84677773342196
15,4,5,1,320,299000,,,Amplia y Acogedora Casa en Km 5.5 Via Samborondon,-2.056239895053519,-79.87696408726231
20,9,9,4,550,250000,,,Casa en Venta Lomas de Urdesa - Guayaquil - F. Rodríguez,-2.161141816406824,-79.9067272619713
