antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
5,4,4,0,480,565000,Arrecife - Punta Mocoli Design By Jannina Cabal,-2.115345389952465,-79.85616255437014,1177.0833333333333
0,4,3,2,400,370000,Vendo Casa Moderna de Estreno en Isla Mocoli,-2.102442901125957,-79.8670732875496,925.0
20,4,4,3,244,140000,Venta de Casa Cdla. del Biess Remodelada - Sector Sur de Guayaquil,-2.230328339537673,-79.90216345507815,573.7704918032787
0,0,4,2,1,259000,Se Vende Proyecto en Isla Celeste Reserva Solo con 10.000!,-2.071613787296468,-79.84206462327882,259000.0
0,4,4,0,245,245000,Isla Celeste 243 m² Const y 225 m² Terreno Hermoso Diseño Venta Directa,-2.07941565850068,-79.83799314794919,1000.0
0,0,4,2,1090,650000,"Casa 1 Planta Al Lago - 4 D - $650,000",-2.142225517676877,-79.86459564013671,596.3302752293578
10,3,3,2,580,425000,"Samborondon Km 4 - Urb San Isidro - Casa 3 Dorm. - Us$425,000",-2.1190084,-79.86893909999998,732.7586206896551
0,4,4,2,505,450000,Vendo Casa Moderna de Estreno Isla Mocoli Al Lago,-2.100170754475629,-79.86166656434631,891.0891089108911
14,4,5,2,240,280000,Vendo Casa Portón de Lomas Urdesa (Costabienes),-2.1590432,-79.90947510000001,1166.6666666666667
30,3,2,1,170,175000,"Venta de Casa, Vía a Samborondon Km 1 Planta Baja",-2.1447394,-79.8644152,1029.4117647058824
0,3,3,2,319,367000,Casa en Venta en Estancias del Rio,-2.0625285,-79.8773438,1150.4702194357367
0,4,4,2,593,682000,"Casa en Proyecto - con Vista Al Lago - Us$682,000",-2.075796462183973,-79.87261044340823,1150.0843170320404
5,3,4,2,186,215000,Hermosa Casa en Venta Urb. Arcadia - 3 Dorm. 215.000$,-2.1858452,-80.00230959999999,1155.9139784946237
0,4,6,1,570,495000,Isla Mocoli - 4 Dorm. - Jardines Interiores - Piscina,-2.102442901125957,-79.8670732875496,868.421052631579
8,3,2,2,189,225000,"Casa en Venta - Km 14 - 3d - $225,000",-2.189967667128228,-80.00195052012941,1190.4761904761904
0,4,5,2,480,395000,Isla Mocoli - 4 Dorm.,-2.103258580671302,-79.85977828919982,822.9166666666666
0,4,3,2,461,490000,"Proyecto Nuevo - Casa de 4 Dorm. - Us$490,000",-2.111447708039338,-79.85661246826169,1062.9067245119306
0,1,1,3,83,79990,"Vendo Casa de Estreno Urbanizacion Villa Italia, Excelente Ubicacion!",-2.059290948246912,-79.92583201531374,963.7349397590361
0,4,4,2,405,454000,"Urb Pacifica - Isla Mocoli - Casa en Proyecto - Us$454,000",-2.1043031,-79.86048310000001,1120.9876543209878
0,4,4,0,410,440000,Isla Mocoli Urb. Pacifica - 4 Dorm.,-2.104158358380436,-79.86055015522538,1073.1707317073171
40,4,3,2,600,320000,Casa en Venta. Una Sola Planta 275.72 m² de Construcción. Ceibos Calle 2da,-2.168558934023446,-79.9392657095093,533.3333333333334
0,0,4,14,767,500000,Casa - Samborondón,-2.0868532,-79.8709837,651.8904823989569
0,4,4,2,250,238000,Vendo Casa Ciudad Celeste Moderna por Estrenar,-2.07179360121206,-79.84207850322787,952.0
0,4,4,2,400,350000,Isla Mocoli Vendo Hermosa Casa Moderna de Estreno,-2.104158358380436,-79.86055015522538,875.0
0,4,3,0,180,155000,Casa en Venta Via a La Costa Km 22 Urb Costa Real 4 Dorm.,-2.201378,-80.06030279999999,861.1111111111111
10,4,4,2,550,380000,Casa en Venta - 4d - Santa Cecilia - $380.000,-2.162087802779203,-79.94190992366487,690.9090909090909
33,3,2,0,160,150000,Vendo Casa Colinas de Los Ceibos,-2.164387438323206,-79.94552559341605,937.5
8,5,7,1,2000,950000,Urb Camino Real Casa Tipo Mansión Km 2 Vía a Samborondon,-2.136867613756863,-79.86364074035646,475.0
6,3,3,2,400,480000,Linda Casa en Venta o Alquiler - 3 Dorm.,-2.03748177272571,-79.83215510345951,1200.0
6,2,1,2,105,46000,"Vendo Casa 2 Plantas en Huancavilca Norte, Cerca Al Parque Samanes, Av Orellana",-2.098124120001116,-79.90698734442748,438.0952380952381
12,6,4,0,103,88000,Casa en Venta Sauces 4 Dos Plantas,-2.124824363404159,-79.88814589913613,854.3689320388349
0,4,4,2,593,682000,Casa en Venta en Aires de Batan Al Lago Venta Directa Sin Intermediarios,-2.0772653,-79.87343659999999,1150.0843170320404
5,3,2,2,120,85000,Vendo Casa de 2 Plantas en Milan Esquinera,-2.0380771,-79.8701254,708.3333333333334
0,3,3,0,96,62707,Hermosas Casa en Villa Bonita a Estrenar,-2.062492611981854,-79.97456076233522,653.1979166666666
5,4,3,2,230,200000,Se Vende Una Casa y un Departamento Via a La Costa,-2.184807509446279,-80.00872382559129,869.5652173913044
4,3,4,1,175,182000,Casa en Venta en Exclusiva Urbanización Bali/ Samborondón/ Daule,-2.0516322,-79.90243290000001,1040.0
7,9,6,0,104,135000,Casa Rentera con Cinco Departamentos en Huancavilca Sur - Guayaquil - F. Rodríguez,-2.2349311,-79.90027129999999,1298.076923076923
0,4,4,2,400,370000,Vendo Casa de Estreno Moderna en Isla Mocoli,-2.103258580671302,-79.85977828919982,925.0
0,4,4,2,546,565000,"Proyecto Nuevo - Casa de 4 Dorm. - Vista Al Lago - Us$565,000",-2.1133347,-79.85558249999997,1034.7985347985348
10,3,3,2,203,275000,"Casa 3 Dorm. + Sala de Estar - Us$275,000",-2.135514132373163,-79.86448066357423,1354.679802955665
4,3,4,3,200,185000,Punta Esmeralda - Casa en Venta 3d - $,-2.183342031905175,-79.99406450052493,925.0
0,4,4,2,400,350000,Vendo Casa de Estreno Moderna en Isla Mocoli,-2.1043031,-79.86048310000001,875.0
13,7,7,10,1460,575000,Espectacular Mansión en Urbanización Aquamarina de Samborondón ¡Al Pie del Lago!,-2.1520745,-79.8625834,393.83561643835617
4,3,2,0,144,99000,"Casa en Venta en Villa Club, Esquinera $99.000",-2.0342721,-79.89789830000001,687.5
0,4,4,2,540,615000,Isla Mocoli Vendo Moderna Casa de Estreno Al Lago,-2.102442901125957,-79.8670732875496,1138.888888888889
8,3,3,2,400,385000,"Urb Laguna del Sol - Casa 3 Dorm. - Us$385,000",-2.082085910194585,-79.87252865239259,962.5
15,4,7,2,470,280000,"Hermosa Casa en Venta 4 Dorm, Piscina. Urb. Colinas de Los Ceibos - 280.000$",-2.159284019538617,-79.94815607409669,595.7446808510638
10,3,3,2,251,290000,"Casa en Venta - Km 7 - 3d - Us$290,000",-2.187145471490973,-79.97014873815459,1155.3784860557769
3,10,11,3,740,650000,Samborondon La Puntilla Vendo Casa con Dos Departamentos Independientes,-2.15640153911104,-79.86508279311522,878.3783783783783
0,4,4,2,540,850000,"Casa X Estrenar - Al Lago - de Lujo - Us$850,000",-2.0773404,-79.86969220000003,1574.0740740740741
0,4,4,2,530,540000,Vendo Hermosa Casa de Estreno en Aires de Batan,-2.112365509828726,-79.87111150759887,1018.8679245283018
0,4,4,2,400,325000,Isla Mocoli Vendo Casa Moderna de Estreno,-2.096197548642436,-79.8606440325409,812.5
0,3,2,0,122,69000,Villa del Rey Palacio 5 Nueva Venta Directa $69.000,-2.0248305,-79.91677709999999,565.5737704918033
5,3,1,2,72,59900,Casa en Villa España de Dos Plantas a Estrenar Norte de Gye - F. Rodríguez,-2.084494319434373,-79.92135690845947,831.9444444444445
10,3,3,2,268,188500,Vendo Casa Via a La Costa,-2.1896713,-80.00842519999998,703.3582089552239
10,3,3,1,90,58000,Casa en Venta en Mucho Lote 1 Al Norte de Gye - F. Rodríguez,-2.094771439533467,-79.91429647138062,644.4444444444445
0,4,4,2,406,454000,Pacifica (Mocoli) a Estrenar Moderna Casa,-2.1043031,-79.86048310000001,1118.2266009852217
0,3,2,2,127,80000,Vendo Hermosa Casa en Bonaterra de Oportunidad,-2.0393128,-79.8654999,629.9212598425197
15,3,5,2,337,329000,"Linda Casa, Km 5 Sobre La Vía a Samborondon",-2.1170338,-79.87147010000001,976.2611275964392
6,3,5,0,453,425000,"Hermosa Casa en Laguna del Sol, Via a Samborondon",-2.080773805194784,-79.87264689580081,938.1898454746137
0,1,4,3,423,689000,Casa - Samborondón,-2.1709979,-79.9223592,1628.8416075650118
35,4,4,0,120,52000,Pradera 1 - Villa 4 Dorm. 4 Baños,-2.238747412959437,-79.89123975033186,433.3333333333333
6,3,3,2,502,349000,"Casa 3 Dormit + Estudio + Sala Musica - Us$349,000",-2.114834,-79.8681618,695.2191235059761
0,4,4,1,420,380000,"Casa Proyecto en Venta, Isla Mocoli, Samborondón Ciudadela Isla del Rio",-2.0994643,-79.86449670000002,904.7619047619048
30,3,3,0,250,135000,Casa de Venta en Bellavista,-2.185783730340475,-79.91440317529418,540.0
37,2,2,0,101,55000,De Oportunidad Casa en Venta en Sauces,-2.125083855262901,-79.89743211586915,544.5544554455446
0,1,1,4,243,245000,Casa Isla Celeste Etapa Estribor,-2.189412799999999,-79.8890662,1008.2304526748972
5,2,1,1,56,41900,Vendo Casa de Dos Plantas con Estacionamiento en Ciudad Santiago - Guayaquil - F. Rodríguez,-2.024561619524212,-79.94286473596799,748.2142857142857
18,5,4,2,456,268900,Venta de Casa en La Urb. Los Senderos - Mae. Recalde,-2.1675008,-79.93569439999999,589.6929824561404
24,4,3,3,138,130000,Amplia Casa en Sauces 9,-2.130761314839407,-79.8938744830117,942.0289855072464
4,4,4,2,523,370000,Los Parques Casa en Venta,-2.1731919,-79.9437532,707.4569789674953
8,5,5,2,225,190000,"Vendo Excelente Villa en Ciudad Celeste, Via Samborondón.",-2.1070207,-79.87232990000001,844.4444444444445
0,1,2,3,316,340000,Casa - Samborondón,-2.107305499999999,-79.872252,1075.9493670886077
15,3,2,1,120,59990,En Venta Casa en Ciudadela Las Orquídeas - K. Salamea,-2.0860551,-79.91385889999998,499.9166666666667
4,4,7,2,1088,860000,"Hermosa Casa en Urb Exclusiva, Via Samborondon",-2.102442901125957,-79.8670732875496,790.4411764705883
0,3,3,3,120,87718,Casa de Venta por Estrenar en La Urbanización l'Ogare,-2.0169076,-79.866398,730.9833333333333
0,4,4,2,263,239500,"Casa Bifamiliar de 263 m² en Puerto Azul, Via a La Costa. Parque, Acabados Lujo",-2.187841308004728,-79.96819902660462,910.6463878326996
10,3,3,2,132,137000,Casa Hermosa en Villa Club.,-2.0342721,-79.89789830000001,1037.878787878788
0,4,4,2,400,370000,Isla Mocoli Vendo Casa de Estreno,-2.103258580671302,-79.85977828919982,925.0
0,3,4,1,120,102459,"Venta de Casa Laguna en León Febres Cordero, Cerca del C. C Riocentro El Dorado.",-2.0412082,-79.88794589999998,853.825
0,3,3,1,112,112000,"Casa en Venta en Urb. La Joya Etapa Oro, Nueva Etapa",-2.028697862200196,-79.92173041645509,1000.0
0,1,0,4,324,388000,"Casa Enstancia del Rio, Samborondón",-2.1261184,-79.8766916,1197.530864197531
